"","PUMA00","PUMA10","ADJINC","AGEP","CIT","COW","ENG","FER","INTP","JWMNP","LANX","MAR","MIG","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","ANC1P05","ANC1P12","DECADE","DIS","ESR","FOD1P","HICOV","NATIVITY","NOP","OCCP10","OCCP12","PERNP","PINCP","POBP05","POBP12","PRIVCOV","PUBCOV","RAC1P","SCIENGP","WAOB","FENGP","PWGTP"
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2203,-9,1071861,60,4,NA,1,NA,0,NA,1,5,1,2,5,2,2,3,0,0,0,1,16,0,1,12000,0,0,NA,720,-9,2,1,6,NA,1,2,NA,"","",0,12000,233,-9,2,1,6,NA,4,0,24
"107",-9,6502,1008425,43,1,1,NA,2,0,5,2,3,1,3,5,1,2,2,0,0,0,1,19,0,2,0,0,11000,40,-9,51,NA,2,1,NA,1,1,NA,"N.A.","4110",11000,11000,-9,42,2,1,1,NA,1,0,4
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",-9,1304,1024037,39,1,1,NA,NA,0,55,2,1,1,3,5,3,3,3,0,0,0,1,21,0,1,0,0,150000,40,-9,32,NA,2,1,4006,1,1,NA,"N.A.","1020",150000,150000,-9,6,1,2,1,1,1,0,25
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",-9,1906,1024037,43,1,6,NA,2,0,NA,2,1,1,1,5,2,3,3,0,0,0,1,23,20,2,0,0,0,23,-9,144,NA,2,2,3301,1,1,NA,"N.A.","3600",20,20,-9,6,1,2,1,2,1,0,8
"115",-9,3731,1024037,46,1,1,NA,2,0,10,2,4,1,3,5,3,3,3,0,0,0,1,20,0,2,0,0,35000,48,-9,32,NA,2,1,NA,1,1,NA,"N.A.","5820",35000,35000,-9,42,1,2,1,NA,1,0,12
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2702,-9,1094136,36,4,2,2,2,0,15,1,1,1,3,5,3,3,3,0,0,0,1,21,0,2,0,0,70000,40,720,-9,7,2,1,6107,1,2,NA,"3255","N.A.",70000,70000,233,-9,1,2,6,2,4,0,15
"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",-9,8105,1008425,55,1,6,NA,NA,16800,NA,2,3,1,3,5,3,3,3,6000,0,0,1,22,15000,2,0,0,0,25,-9,148,NA,2,1,5200,1,1,NA,"N.A.","4760",15000,37800,-9,6,1,2,1,1,1,0,9
"121",800,-9,1071861,30,4,4,1,2,0,NA,1,5,3,3,5,3,3,3,0,0,0,1,13,0,2,0,0,0,NA,999,-9,6,2,6,NA,1,2,NA,"4600","N.A.",0,0,163,-9,1,2,1,NA,5,0,7
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",3302,-9,1094136,51,4,1,1,NA,150,20,1,1,1,2,5,2,2,2,0,0,0,1,21,0,2,0,0,71000,40,720,-9,5,2,1,6107,1,2,NA,"3255","N.A.",71000,71150,233,-9,1,2,6,2,4,0,23
"124",-9,6705,1008425,49,3,4,NA,2,0,25,2,1,1,3,5,3,3,3,0,0,0,1,18,0,2,0,0,57000,40,-9,776,4,2,1,NA,1,1,NA,"N.A.","0430",57000,57000,-9,242,1,2,6,NA,4,0,23
