"","PUMA10","percentage"
"198",7315,0.2058198463299
"199",7316,0.281078501550942
"200",7317,0.144070927225711
"201",7318,0.12300785634119
"202",7319,0.202150537634409
"203",7320,0.245904798612449
"204",7321,0.0896487985212569
"205",7322,0.108359892130424
"206",7501,0.210230817217717
"207",7502,0.252437703141928
"208",7503,0.350772698003864
"209",7504,0.313973730020573
"210",7505,0.368538414757754
"211",7506,0.290343915343915
"212",7507,0.119035402770652
"213",7701,0.215600775193798
"214",7702,0.0619686800894855
"215",7703,0.14006723227149
"216",7704,0.0997740963855422
"217",7901,0.169472710453284
"218",7902,0.150280484204311
"219",8101,0.117170626349892
"220",8102,0.181987964307948
"221",8103,0.247924080664294
"222",8104,0.288453252908229
"223",8105,0.287251210328133
"224",8106,0.235063918601618
"225",8301,0.128093158660844
