"DATE","tenor","rate"
2005-01-01,"GS1",2.86
2005-02-01,"GS1",3.03
2005-03-01,"GS1",3.3
2005-04-01,"GS1",3.32
2005-05-01,"GS1",3.33
2005-06-01,"GS1",3.36
2005-07-01,"GS1",3.64
2005-08-01,"GS1",3.87
2005-09-01,"GS1",3.85
2005-10-01,"GS1",4.18
2005-11-01,"GS1",4.33
2005-12-01,"GS1",4.35
2006-01-01,"GS1",4.45
2006-02-01,"GS1",4.68
2006-03-01,"GS1",4.77
2006-04-01,"GS1",4.9
2006-05-01,"GS1",5
2006-06-01,"GS1",5.16
2006-07-01,"GS1",5.22
2006-08-01,"GS1",5.08
2006-09-01,"GS1",4.97
2006-10-01,"GS1",5.01
2006-11-01,"GS1",5.01
2006-12-01,"GS1",4.94
2007-01-01,"GS1",5.06
2007-02-01,"GS1",5.05
2007-03-01,"GS1",4.92
2007-04-01,"GS1",4.93
2007-05-01,"GS1",4.91
2007-06-01,"GS1",4.96
2007-07-01,"GS1",4.96
2007-08-01,"GS1",4.47
2007-09-01,"GS1",4.14
2007-10-01,"GS1",4.1
2007-11-01,"GS1",3.5
2007-12-01,"GS1",3.26
2008-01-01,"GS1",2.71
2008-02-01,"GS1",2.05
2008-03-01,"GS1",1.54
2008-04-01,"GS1",1.74
2008-05-01,"GS1",2.06
2008-06-01,"GS1",2.42
2008-07-01,"GS1",2.28
2008-08-01,"GS1",2.18
2008-09-01,"GS1",1.91
2008-10-01,"GS1",1.42
2008-11-01,"GS1",1.07
2008-12-01,"GS1",0.49
2009-01-01,"GS1",0.44
2009-02-01,"GS1",0.62
2009-03-01,"GS1",0.64
2009-04-01,"GS1",0.55
2009-05-01,"GS1",0.5
2009-06-01,"GS1",0.51
2009-07-01,"GS1",0.48
2009-08-01,"GS1",0.46
2009-09-01,"GS1",0.4
2009-10-01,"GS1",0.37
2009-11-01,"GS1",0.31
2009-12-01,"GS1",0.37
2010-01-01,"GS1",0.35
2010-02-01,"GS1",0.35
2010-03-01,"GS1",0.4
2010-04-01,"GS1",0.45
2010-05-01,"GS1",0.37
2010-06-01,"GS1",0.32
2010-07-01,"GS1",0.29
2010-08-01,"GS1",0.26
2010-09-01,"GS1",0.26
2010-10-01,"GS1",0.23
2010-11-01,"GS1",0.25
2010-12-01,"GS1",0.29
2011-01-01,"GS1",0.27
2011-02-01,"GS1",0.29
2011-03-01,"GS1",0.26
2011-04-01,"GS1",0.25
2011-05-01,"GS1",0.19
2011-06-01,"GS1",0.18
2011-07-01,"GS1",0.19
2011-08-01,"GS1",0.11
2011-09-01,"GS1",0.1
2011-10-01,"GS1",0.11
2011-11-01,"GS1",0.11
2011-12-01,"GS1",0.12
2012-01-01,"GS1",0.12
2012-02-01,"GS1",0.16
2012-03-01,"GS1",0.19
2012-04-01,"GS1",0.18
