"DATE","GS1","GS10","GS3","GS30","GS5","UNRATE"
"1992-07-01",3.6,6.84,4.91,7.6,5.84,7.7
"1992-08-01",3.47,6.59,4.72,7.39,5.6,7.6
"1992-09-01",3.18,6.42,4.42,7.34,5.38,7.6
"1992-10-01",3.3,6.59,4.64,7.53,5.6,7.3
"1992-11-01",3.68,6.87,5.14,7.61,6.04,7.4
"1992-12-01",3.71,6.77,5.21,7.44,6.08,7.4
"1993-01-01",3.5,6.6,4.93,7.34,5.83,7.3
"1993-02-01",3.39,6.26,4.58,7.09,5.43,7.1
"1993-03-01",3.33,5.98,4.4,6.82,5.19,7
"1993-04-01",3.24,5.97,4.3,6.85,5.13,7.1
"1993-05-01",3.36,6.04,4.4,6.92,5.2,7.1
"1993-06-01",3.54,5.96,4.53,6.81,5.22,7
"1993-07-01",3.47,5.81,4.43,6.63,5.09,6.9
"1993-08-01",3.44,5.68,4.36,6.32,5.03,6.8
"1993-09-01",3.36,5.36,4.17,6,4.73,6.7
"1993-10-01",3.39,5.33,4.18,5.94,4.71,6.8
"1993-11-01",3.58,5.72,4.5,6.21,5.06,6.6
"1993-12-01",3.61,5.77,4.54,6.25,5.15,6.5
"1994-01-01",3.54,5.75,4.48,6.29,5.09,6.6
"1994-02-01",3.87,5.97,4.83,6.49,5.4,6.6
"1994-03-01",4.32,6.48,5.4,6.91,5.94,6.5
"1994-04-01",4.82,6.97,5.99,7.27,6.52,6.4
"1994-05-01",5.31,7.18,6.34,7.41,6.78,6.1
"1994-06-01",5.27,7.1,6.27,7.4,6.7,6.1
"1994-07-01",5.48,7.3,6.48,7.58,6.91,6.1
"1994-08-01",5.56,7.24,6.5,7.49,6.88,6
"1994-09-01",5.76,7.46,6.69,7.71,7.08,5.9
"1994-10-01",6.11,7.74,7.04,7.94,7.4,5.8
"1994-11-01",6.54,7.96,7.44,8.08,7.72,5.6
"1994-12-01",7.14,7.81,7.71,7.87,7.78,5.5
"1995-01-01",7.05,7.78,7.66,7.85,7.76,5.6
"1995-02-01",6.7,7.47,7.25,7.61,7.37,5.4
"1995-03-01",6.43,7.2,6.89,7.45,7.05,5.4
"1995-04-01",6.27,7.06,6.68,7.36,6.86,5.8
"1995-05-01",6,6.63,6.27,6.95,6.41,5.6
"1995-06-01",5.64,6.17,5.8,6.57,5.93,5.6
"1995-07-01",5.59,6.28,5.89,6.72,6.01,5.7
